#Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
Marktplatz;Neckartenzlingen Marktplatz;4486;de:08116:4486;8116042;Neckartenzlingen;Neckartenzlingen;ES;4,5,59,69;"Bus;Ruftaxi";187,188,189,189A,197,808,RT188,RT189;31187_,31188_,31189_,31189a,31197_,31808_,50188_,50189_;8;31,5;9,232786005;48,59042048
Auwiesenschule;Neckartenzl. Auwiesenschule;4310;de:08116:4310;8116042;Neckartenzlingen;Neckartenzlingen;ES;59,69,4,5;Bus;187,188A,197,808A;31187_,31188a,31197_,31808a;4;31;9,243791922;48,58734014
Rathaus;Bempflingen Rathaus;4316;de:08116:4316;8116008;Bempflingen;Bempflingen;ES;69,5;"Bus;Nachtbus;Ruftaxi";187,197,X19,N81,RT187;31187_,31197_,31X19_,34081_,50187_;5;31,34,50;9,26855208;48,57116104
Schule;Bempflingen Schule;4490;de:08116:4490;8116008;Bempflingen;Bempflingen;ES;5,69;"Bus;Ruftaxi";187,197,X19,RT187;31187_,31197_,31X19_,50187_;4;31,5;9,271339212;48,57036313
Rathaus;Kleinbettlingen Rathaus;4465;de:08116:4465;8116008;Bempflingen;Kleinbettlingen;ES;5,69;"Bus;Nachtbus;Ruftaxi";187,N81,RT187,RT193;31187_,34081_,50187_,50193_;4;31,34,50;9,28814671;48,57125745
Grafenberger Straße;Kleinbettl. Grafenberger Str.;4464;de:08116:4464;8116008;Bempflingen;Kleinbettlingen;ES;5,69;"Bus;Ruftaxi";187,RT187,RT193;31187_,50187_,50193_;3;31,5;9,284986434;48,57072577
Rathaus;Schlaitdorf Rathaus;2062;de:08116:2062;8116063;Schlaitdorf;Schlaitdorf;ES;4,59;"Bus;Ruftaxi";188,188A,189,189A,805,809A,RT188,RT189;31188_,31188a,31189_,31189a,31805_,31809a,50188_,50189_;8;31,5;9,224011871;48,60489812
Süd;Häslach Süd;2063;de:08415:29041;8415087;Walddorfhäslach;Häslach;RT;4,59;"Bus;Ruftaxi";188,188A,189,189A,805,809A,RT188,RT189;31188_,31188a,31189_,31189a,31805_,31809a,50188_,50189_;8;31,5;9,195837637;48,59505771
Schule;Altenriet Schule;2065;de:08116:2065;8116006;Altenriet;Altenriet;ES;4,59;"Bus;Ruftaxi";188,188A,189,189A,805,809A,RT188,RT189;31188_,31188a,31189_,31189a,31805_,31809a,50188_,50189_;8;31,5;9,217520965;48,59010868
Rathaus;Altenriet Rathaus;2066;de:08116:2066;8116006;Altenriet;Altenriet;ES;4,59;"Bus;Ruftaxi";188,188A,189,189A,805,809A,RT188,RT189;31188_,31188a,31189_,31189a,31805_,31809a,50188_,50189_;8;31,5;9,22065554;48,5908491
Neckartailfinger Straße;Schlaitdorf Neckartailf. Str.;2070;de:08116:2070;8116063;Schlaitdorf;Schlaitdorf;ES;4,59;"Bus;Ruftaxi";188,188A,189,189A,805,809A,RT188,RT189;31188_,31188a,31189_,31189a,31805_,31809a,50188_,50189_;8;31,5;9,229851101;48,60679303
Stuttgarter Straße;Altdorf Stuttgarter Straße;4489;de:08116:4489;8116005;Altdorf;Altdorf (ES);ES;4,5,59,69;"Bus;Ruftaxi";188,188A,189,189A,808,RT188,RT189;31188_,31188a,31189_,31189a,31808_,50188_,50189_;7;31,5;9,269690547;48,59408073
Schillerstraße;Neckartailfingen Schillerstr.;3937;de:08116:3937;8116041;Neckartailfingen;Neckartailfingen;ES;4,5,50,59,60,69;"Bus;Ruftaxi";188,188A,189,189A,RT188;31188_,31188a,31189_,31189a,50188_;5;31,5;9,271202694;48,61061466
Eichendorffstraße;Neckartailf. Eichendorffstr.;3938;de:08116:3938;8116041;Neckartailfingen;Neckartailfingen;ES;4,5,50,59,60,69;"Bus;Ruftaxi";188,188A,189,189A,RT188;31188_,31188a,31189_,31189a,50188_;5;31,5;9,278204136;48,61132633
Nürtinger Straße;Neckartailf. Nürtinger Str.;4482;de:08116:4482;8116041;Neckartailfingen;Neckartailfingen;ES;60,69,4,5,50,59;"Bus;Nachtbus;Ruftaxi";188,188A,189,N89,RT188,RT189;31188_,31188a,31189_,34089_,50188_,50189_;6;31,34,50;9,267355292;48,61392398
Rathaus;Neckartailfingen Rathaus;4483;de:08116:4483;8116041;Neckartailfingen;Neckartailfingen;ES;4,5,50,59,60,69;"Bus;Nachtbus;Ruftaxi";188,188A,189,N89,RT188,RT189;31188_,31188a,31189_,34089_,50188_,50189_;6;31,34,50;9,264212967;48,61210574
Seestraße;Häslach Seestraße;2064;de:08415:29040;8415087;Walddorfhäslach;Häslach;RT;4,59;"Bus;Ruftaxi";188,188A,189,RT188,RT189;31188_,31188a,31189_,50188_,50189_;5;31,5;9,199780674;48,59797353
Obere Liesäcker;Altdorf Obere Liesäcker;7089;de:08116:7089;8116005;Altdorf;Altdorf (ES);ES;4,5,59,69;"Bus;Ruftaxi";188,188A,189A,808,RT188;31188_,31188a,31189a,31808_,50188_;5;31,5;9,270040842;48,59621117
Schule;Neckartailfingen Schule;4484;de:08116:4484;8116041;Neckartailfingen;Neckartailfingen;ES;4,5,50,59,60,69;"Bus;Ruftaxi";188,188A,808,RT188;31188_,31188a,31808_,50188_;4;31,5;9,267762488;48,60886916
Robert-Bosch-Straße;Neckartenzl. Robert-Bosch-Str.;3819;de:08116:3819;8116042;Neckartenzlingen;Neckartenzlingen;ES;4,5,59,69;Bus;188,189,189A;31188_,31189_,31189a;3;31;9,228546034;48,58507835
Eichwasen;Neckartenzlingen Eichwasen;4308;de:08116:4308;8116042;Neckartenzlingen;Neckartenzlingen;ES;59,69,4,5;"Bus;Ruftaxi";188,189,189A,808,RT188,RT189;31188_,31189_,31189a,31808_,50188_,50189_;6;31,5;9,250067899;48,5900964
Rathaus;Neckartenzlingen Rathaus;4487;de:08116:4487;8116042;Neckartenzlingen;Neckartenzlingen;ES;4,5,59,69;"Bus;Ruftaxi";188,189,189A,808,RT188,RT189;31188_,31189_,31189a,31808_,50188_,50189_;6;31,5;9,236014662;48,59093547
Rotenbach;Neckartenzlingen Rotenbach;4488;de:08116:4488;8116042;Neckartenzlingen;Neckartenzlingen;ES;4,5,59,69;"Bus;Ruftaxi";188,189,189A,808,RT188,RT189;31188_,31189_,31189a,31808_,50188_,50189_;6;31,5;9,242512236;48,59183919
Wasserwerk;Neckartailf. Wasserwerk;6709;de:08116:6709;8116041;Neckartailfingen;Neckartailfingen;ES;50,59,60,69,4,5;"Bus;Ruftaxi";188,189,RT188,RT189;31188_,31189_,50188_,50189_;4;31,5;9,285006981;48,61766746
Neckarbrücke;Neckartailf. Neckarbrücke;6860;de:08116:6860;8116041;Neckartailfingen;Neckartailfingen;ES;50,59,60,69,4,5;Bus;188A,189,189A,808;31188a,31189_,31189a,31808_;4;31;9,264182788;48,61152129
Tübinger Straße;Neckartailfingen Tübinger Str.;5820;de:08116:5820;8116041;Neckartailfingen;Neckartailfingen;ES;4,5,50,59,60,69;"Bus;Nachtbus;Ruftaxi";188A,189,189A,808,N89,RT189;31188a,31189_,31189a,31808_,34089_,50189_;6;31,34,50;9,26139535;48,61009783
Sportplatz;Altenriet Sportplatz;6708;de:08116:6708;8116006;Altenriet;Altenriet;ES;59,4;Bus;188A,805;31188a,31805_;2;31;9,22770463;48,59387486
Hohebildstraße;Walddorf Hohebildstraße;2067;de:08415:29043;8415087;Walddorfhäslach;Walddorf;RT;4,59;Bus;188A,805,809A;31188a,31805_,31809a;3;31;9,188638065;48,58756988
Rathaus;Walddorf Rathaus;2068;de:08415:24320;8415087;Walddorfhäslach;Walddorf;RT;4,59;Bus;188A,805,809A;31188a,31805_,31809a;3;31;9,181425018;48,58705993
Neckartailfingen;Neckartailfingen;5819;de:08116:5819;8116041;Neckartailfingen;Neckartailfingen;ES;4,5,50,59,60,69;"Bus;Nachtbus;Ruftaxi";189,189A,805,808,809A,N89,RT189;31189_,31189a,31805_,31808_,31809a,34089_,50189_;7;31,34,50;9,256305659;48,61191682
